date;price
2021-03-31;482440,61
2021-04-30;476109,3
2021-05-31;492943,47
2021-06-30;484088,56
2021-07-31;482835,39999999997
2021-08-31;482284,79
2021-09-30;507240,68
2021-10-31;320798,74
2021-11-30;516167,73
2021-12-31;525917,28
2022-01-31;525338,99
2022-02-28;535571,5
2022-03-31;515456,52999999997
2022-04-30;492998,94
2022-05-31;517132,6
2022-06-30;496016,12
2022-07-31;510783,12
2022-08-31;506467,27
2022-09-30;494114,52999999997
2022-10-31;507917,77
2022-11-30;496664,94
2022-12-31;510219,5
2023-01-31;517540,55
2023-02-28;456679,76
