id_prod;ca_total
0_0;4657,5
0_1;5352,13
0_10;394,9
0_100;61,800000000000004
0_1000;2954,88
0_1001;2020,95
0_1002;4005,42
0_1003;6175,88
0_1004;3236,07
0_1005;104,94999999999999
0_1006;213,12
0_1007;2160,67
0_1008;1825,7800000000002
0_1009;6670,55
0_101;233,82
0_1010;19,6
0_1011;5931,76
0_1012;97,19999999999999
0_1013;2270,4500000000003
0_1015;4802,63
0_1017;3874,69
0_1018;4567,780000000001
0_1019;199,92
0_102;156,51999999999998
0_1020;3971,3900000000003
0_1021;3461,15
0_1022;235,7
0_1023;2669,65
0_1024;180,66
0_1026;4516,2
0_1027;2475,04
0_1028;2336,18
0_1029;3779,27
0_103;109,9
0_1030;6000,01
0_1031;2907,84
0_1032;108,0
0_1033;3467,6600000000003
0_1034;5766,38
0_1035;1667,8200000000002
0_1036;2774,52
0_1037;62,97
0_1038;4538,84
0_1039;4903,91
0_104;90,60000000000001
0_1040;2293,75
0_1041;11,94
0_1042;8134,67
0_1043;4428,97
0_1044;2108,8
0_1045;2366,05
0_1046;3661,84
0_1047;3012,69
0_1048;1768,0
0_1049;5858,49
0_105;111,86
0_1050;5366,79
0_1051;17,94
0_1052;1296,18
0_1053;4571,84
0_1054;3227,7799999999997
0_1055;3603,4900000000002
0_1056;9,84
0_1057;7436,28
0_1058;1494,45
0_1059;8051,759999999999
0_106;188,0
0_1060;4773,929999999999
0_1061;7876,0599999999995
0_1063;2264,2200000000003
0_1064;1873,7
0_1065;5996,25
0_1066;3700,48
0_1067;6897,6900000000005
0_1068;265,56
0_1069;3555,55
0_107;131,89000000000001
0_1070;2032,32
0_1071;91,96
0_1072;7454,46
0_1073;7666,52
0_1074;7,32
0_1075;5769,75
0_1076;251,1
0_1077;29,85
0_1078;3307,7599999999998
0_1079;2845,25
0_108;292,53
0_1080;12,15
0_1081;5959,03
0_1082;7828,28
0_1083;8885,769999999999
0_1084;297,96000000000004
0_1085;2030,91
0_1086;8,459999999999999
0_1087;119,96
0_1088;6,540000000000001
0_1089;2270,31
0_109;99,80000000000001
0_1090;7358,5199999999995
0_1091;5384,61
0_1092;308,28
0_1093;35,88
0_1094;9169,2
0_1095;4033,23
0_1096;5912,62
0_1097;6762,36
0_1098;218,75
0_1099;5538,96
0_11;293,79
0_110;435,59999999999997
0_1100;1493,79
0_1101;5,97
0_1102;2759,48
0_1103;8079,78
0_1104;7291,92
0_1105;4728,74
0_1106;7777,15
0_1107;44,85
0_1108;9039,1
0_1109;299,9
0_111;359,82
0_1110;2877,81
0_1111;10894,55
0_1112;4332,92
0_1113;8342,089999999998
0_1114;12,48
0_1115;3767,61
0_1116;5,94
0_1117;449,82
0_1118;1645,28
0_112;301,07
0_1120;43,68
0_1121;11714,14
0_1122;80,08
0_1123;5533,74
0_1124;9394,44
0_1125;6417,06
0_1126;5536,599999999999
0_1127;2875,2000000000003
0_1128;20,72
0_1129;199,92
0_113;288,83
0_1130;6651,240000000001
0_1131;9210,88
0_1132;4985,2
0_1133;9515,24
0_1134;5977,200000000001
0_1135;107,96
0_1136;1522,08
0_1137;3875,15
0_1138;32,620000000000005
0_1139;1951,1100000000001
0_114;555,3499999999999
0_1140;1861,27
0_1141;83,96
0_1142;1898,1
0_1143;5424,57
0_1144;10114,32
