client_id;genre;age_moyen;nb_sessions;panier_moyen;ca_total;nb_produits_diff;cluster
c_1;m;66,56410256410257;33;14,312307692307694;558,1800000000001;19;0,0
c_10;m;65,60344827586206;34;23,337931034482757;1353,6;27;0,0
c_100;m;29,25;5;31,85625;254,85;6;1,0
c_1000;f;55,72;93;18,095119999999998;2261,89;52;0,0
c_1001;m;39,61764705882353;47;17,77313725490196;1812,86;56;0,0
c_1002;f;39,55555555555556;19;11,549444444444443;415,78;24;0,0
c_1003;m;39,733333333333334;45;11,522285714285713;1209,84;44;0,0
c_1004;m;48,666666666666664;32;15,398484848484848;1016,3;37;0,0
c_1005;f;80,76271186440678;23;14,320847457627117;844,93;31;0,0
c_1006;m;42,726351351351354;129;13,452736486486486;3982,0099999999998;131;0,0
c_1007;f;80,43478260869566;19;18,47695652173913;424,96999999999997;15;0,0
c_1008;m;55,5;4;15,323333333333332;91,94;3;0,0
c_1009;f;27,5;9;25,690999999999995;513,8199999999999;10;1,0
c_101;m;20,61111111111111;9;21,706666666666667;390,72;11;1,0
c_1010;m;27,677419354838708;23;52,10612903225806;1615,29;15;1,0
c_1011;f;22,789473684210527;21;28,542631578947365;2169,24;33;1,0
c_1012;f;64,68;21;13,9628;349,07;13;0,0
c_1013;m;39,67231638418079;76;14,940677966101696;2644,5;84;0,0
c_1014;m;32,692622950819676;95;13,890163934426228;3389,2;107;0,0
c_1015;m;68,54545454545455;68;16,46878787878788;1630,4099999999999;49;0,0
c_1016;m;41,53048780487805;70;11,773536585365854;1930,86;94;0,0
c_1017;f;46,701863354037265;69;13,561428571428571;2183,39;78;0,0
c_1018;f;28,633333333333333;14;62,833666666666666;1885,01;10;1,0
c_1019;f;73,73076923076923;11;18,284230769230767;475,39;13;0,0
c_102;m;39,80952380952381;9;15,100476190476192;317,11;13;0,0
c_1020;m;46,62162162162162;16;15,018918918918917;555,6999999999999;18;0,0
c_1021;f;22,58823529411765;15;61,881764705882354;1051,99;10;1,0
c_1022;m;25,805555555555557;24;50,42055555555555;1815,1399999999999;14;1,0
c_1023;m;22,83823529411765;41;49,650588235294116;3376,24;25;1,0
c_1024;f;51,333333333333336;8;16,522222222222222;148,7;7;0,0
c_1025;m;37,640926640926644;119;14,277837837837838;3697,96;120;0,0
c_1026;m;23,379310344827587;18;53,40206896551724;1548,6599999999999;19;1,0
c_1027;f;42,61165048543689;51;13,585339805825242;1399,29;52;0,0
c_1028;m;35,65505226480836;114;12,445574912891987;3571,88;135;0,0
c_1029;m;65,72727272727273;9;17,766363636363636;195,43;7;0,0
c_103;f;35,55384615384615;89;11,735846153846152;2288,49;104;0,0
c_1030;m;73,74193548387096;24;13,66741935483871;423,69;15;0,0
c_1031;f;58,703448275862065;122;20,199172413793104;2928,88;72;0,0
c_1032;m;58,575;28;14,397749999999998;575,91;25;0,0
c_1033;f;22,0;7;80,128;801,28;3;1,0
c_1034;f;57,916666666666664;8;16,8275;201,93;6;0,0
c_1035;f;40,666666666666664;7;15,834761904761903;332,53;8;0,0
c_1036;f;45,57142857142857;11;12,453571428571427;348,7;18;0,0
c_1037;m;60,56989247311828;62;16,523548387096774;1536,69;48;0,0
c_1038;m;19,756756756756758;18;21,732972972972973;804,12;17;1,0
c_1039;f;58,7125;54;17,908625;1432,69;37;0,0
c_104;m;26,714285714285715;5;27,101428571428574;189,71;3;1,0
c_1040;m;43,72727272727273;20;12,475454545454545;548,92;20;0,0
c_1041;f;44,8235294117647;14;12,365882352941176;630,66;20;0,0
c_1042;f;18,083333333333332;8;29,0625;348,75;6;1,0
c_1043;f;44,49425287356322;36;11,236551724137932;977,58;43;0,0
c_1044;m;65,52380952380952;16;20,31095238095238;426,53;11;0,0
c_1045;f;49,80681818181818;25;14,281818181818181;1256,8;34;0,0
c_1046;m;17,73170731707317;15;22,42878048780488;919,58;19;1,0
c_1047;m;48,6875;29;13,524531249999999;865,5699999999999;31;0,0
c_1048;m;23,5625;13;51,378125;822,05;9;1,0
c_1049;m;55,53846153846154;23;16,56153846153846;645,9;28;0,0
c_105;f;45,8974358974359;18;12,058461538461538;470,28;20;0,0
c_1050;f;36,70612244897959;112;13,138122448979592;3218,84;114;0,0
c_1051;f;53,714285714285715;64;16,103928571428572;1352,73;40;0,0
c_1052;m;20,88679245283019;23;53,03754716981132;2810,99;19;1,0
c_1053;m;22,692307692307693;18;40,035384615384615;1561,3799999999999;20;1,0
c_1054;f;56,642857142857146;49;16,384714285714285;1146,93;38;0,0
c_1055;f;56,670212765957444;82;17,14308510638298;1611,45;44;0,0
c_1056;f;26,692307692307693;9;45,15461538461538;587,01;9;1,0
c_1057;f;44,55670103092783;26;15,422268041237114;1495,96;51;0,0
c_1058;f;52,40816326530612;38;18,34;898,66;30;0,0
c_1059;f;25,666666666666668;6;44,885;538,62;5;1,0
c_106;f;54,625;16;12,608749999999999;201,73999999999998;6;0,0
c_1060;f;48,70445344129555;102;11,690445344129554;2887,54;107;0,0
c_1061;m;30,46153846153846;22;13,162307692307692;855,55;34;0,0
c_1062;m;35,75471698113208;21;12,730754716981133;674,73;21;0,0
c_1063;m;82,66423357664233;108;18,17956204379562;2490,6;69;0,0
c_1064;m;23,659574468085108;29;45,49617021276596;2138,32;22;1,0
c_1065;m;17,48148148148148;20;41,654074074074074;1124,66;15;1,0
c_1066;m;20,6;11;17,341142857142856;606,9399999999999;14;1,0
c_1067;f;34,8;74;11,777414634146341;2414,37;82;0,0
c_1068;m;39,7;22;11,308;678,48;31;0,0
c_1069;f;23,4;5;94,97800000000001;474,89000000000004;3;1,0
c_107;f;37,4921875;57;13,0290625;1667,72;72;0,0
c_1070;f;65,68085106382979;23;15,557446808510639;731,2;26;0,0
c_1071;m;42,6875;31;14,142624999999999;1131,4099999999999;42;0,0
c_1072;f;35,670103092783506;36;14,091340206185565;1366,86;42;0,0
c_1073;f;60,8;11;13,491999999999999;269,84;13;0,0
c_1074;f;43,64890282131662;120;13,016520376175547;4152,2699999999995;150;0,0
c_1075;m;50,69135802469136;45;19,090246913580245;1546,31;37;0,0
c_1076;f;56,57142857142857;17;13,675357142857141;382,90999999999997;13;0,0
c_1077;f;36,69827586206897;86;13,42125;3113,73;102;0,0
c_1078;f;56,56410256410256;35;17,176410256410257;669,88;19;0,0
c_1079;f;38,63636363636363;7;14,625454545454545;160,88;6;0,0
c_108;f;40,6986301369863;36;13,46054794520548;982,62;35;0,0
c_1080;f;52,638297872340424;34;17,131489361702126;805,18;26;0,0
c_1081;m;57,65909090909091;60;19,285227272727273;1697,1;44;0,0
c_1082;m;79,77777777777777;6;12,66;113,94;3;0,0
c_1083;f;35,49152542372882;24;12,050677966101695;710,99;32;0,0
c_1084;f;34,58252427184466;50;11,689126213592234;1203,98;54;0,0
c_1085;m;40,72222222222222;21;15,763703703703705;851,24;25;0,0
c_1086;m;40,68292682926829;18;9,990243902439024;409,6;23;0,0
c_1087;m;42,63846153846154;62;12,939923076923078;1682,19;61;0,0
c_1088;f;17,46153846153846;11;45,42076923076923;590,47;7;1,0
c_1089;m;50,705882352941174;12;15,989999999999998;271,83;7;0,0
c_109;f;17,714285714285715;5;59,31285714285714;415,19;6;1,0
c_1090;f;51,61538461538461;10;16,00153846153846;208,01999999999998;6;0,0
c_1091;f;42,567796610169495;102;12,94186440677966;3054,2799999999997;129;0,0
c_1092;f;49,59090909090909;19;11,652727272727274;512,72;26;0,0
c_1093;f;28,46153846153846;7;33,27307692307692;432,55;11;1,0
c_1094;f;17,65625;12;34,525625;1104,82;14;1,0
c_1095;f;30,73015873015873;56;14,031825396825397;1768,01;55;0,0
c_1096;f;22,527272727272727;30;39,748363636363635;2186,16;27;1,0
c_1097;m;68,64516129032258;27;17,816451612903226;552,31;15;0,0
c_1098;m;35,732142857142854;46;11,596964285714284;1298,86;54;0,0
c_1099;f;65,75;30;18,655192307692307;970,0699999999999;21;0,0
c_11;f;65,68888888888888;39;16,205555555555556;729,25;21;0,0
c_110;m;46,666666666666664;120;13,45116504854369;4156,41;139;0,0
c_1100;m;24,866666666666667;24;43,53288888888889;1958,98;21;1,0
c_1101;m;18,642857142857142;17;50,75428571428571;1421,12;14;1,0
c_1102;f;37,644067796610166;54;13,820847457627117;1630,86;63;0,0
c_1103;m;18,666666666666668;7;56,17444444444445;505,57;5;1,0
c_1104;f;47,60189573459716;96;12,553222748815166;2648,73;106;0,0
c_1105;m;17,767441860465116;11;16,94325581395349;728,56;18;1,0
c_1106;f;32,55555555555556;22;12,745555555555555;573,55;28;0,0
c_1107;m;29,42105263157895;9;26,465263157894736;502,84;12;1,0
c_1108;m;44,411764705882355;8;10,53;179,01;10;0,0
c_1109;f;23,78787878787879;15;35,194848484848485;1161,43;14;1,0
c_111;m;28,75;10;25,293333333333333;607,04;10;1,0
c_1110;f;37,61643835616438;127;11,952328767123287;3490,08;141;0,0
c_1111;f;17,80952380952381;17;33,8247619047619;1420,6399999999999;25;1,0
c_1112;f;34,66346153846154;41;12,870096153846154;1338,49;45;0,0
c_1113;m;49,813559322033896;20;14,339661016949153;846,04;18;0,0
c_1114;f;43,58695652173913;21;12,077391304347826;555,56;23;0,0
c_1115;f;39,614814814814814;59;13,586074074074073;1834,12;70;0,0
c_1116;f;25,5;3;39,07;312,56;6;1,0
c_1117;f;29,666666666666668;7;30,401666666666667;364,82;8;1,0
c_1118;m;45,59344262295082;128;11,650983606557377;3553,55;143;0,0
